method,mean_loss,tail_loss,risk
det-LUR,0.2674539069864171,0.526483980232578,0.0020066666666666666
LUR-a0.5,0.2674539069864171,0.526483980232578,0.0020066666666666666
LUR-a0.8,0.2692006269144152,0.5289647545533399,0.0020066666666666666
LUR-a0.95,0.2719438879133594,0.5264021723323821,0.0
TOPSIS,0.21654681463559555,0.5956252250835037,0.27586666666666665
SMAA,0.4651740373611913,0.9241654189972003,0.5210199999999999
