method,grouped_loss,grouped_std,grouped_lower,grouped_upper,tail_loss,tail_std,tail_lower,tail_upper
TOPSIS,0.3321437790946411,0.1862154307879502,0.31258831818764016,0.3507429259151899,0.45478556952046933,0.2392984318730164,0.4303316733907207,0.4789932922926136
CP,0.31656649237018014,0.1832530050355142,0.29677819217085716,0.33438188414840236,0.4227359460069621,0.2219064233154607,0.40019827598578134,0.4460189349137305
Knee,0.3165402855938533,0.1830044688296971,0.2973782845983237,0.33596351775834044,0.46184705554203714,0.24278145339442841,0.43760078583368534,0.4874183912626122
RW,0.40858045561134004,0.15990973037931652,0.39116269803398956,0.42498296573026045,0.5981302071672538,0.2311574620720996,0.5742507928073581,0.6240159910340835
ASF,0.26571922509184254,0.17343872862537607,0.24695081209100236,0.28361151860799844,0.4060558660077389,0.19365500082110718,0.38692418484112234,0.42684189474655126
SMAA,0.41289568473470867,0.157048502550706,0.39691060151414487,0.4285793555207995,0.6030684200717596,0.22817181686491647,0.5802678003252252,0.6267457178918823
MMR,0.2952261547110606,0.17809423491993065,0.27665108580213366,0.31311022144519635,0.3865768622925452,0.17939812294926805,0.3678264725093791,0.40603377181108036
LexUR,0.2683986504528759,0.1763647945565923,0.2490988875384219,0.2870919319724231,0.39051842426758426,0.17480231779890448,0.37307057787868075,0.4081091608669093
