method,wcr_mean,wcr_std,ru_mean
TOPSIS,0.9746317872925009,0.041140015584845056,0.36051285944860084
CP,0.9057274173868938,0.08897454410607726,0.25531079379590854
Knee,0.8890289764101562,0.07239190359877362,0.2797142703854197
RW,0.9654524592904933,0.05293697683662426,0.3572400035016316
ASF,0.9286963593466855,0.07271917844315402,0.22788524154219247
SMAA,0.9479943478574386,0.06866771347784256,0.35612317860454507
MMR,0.9115716275432637,0.08354468960917359,0.20362737131312855
LexUR,0.6974660181691508,0.01912761596184007,0.22206449928680216
