method,linear,chebyshev,aug_asf,ces,choquet,satisfice,overall
TOPSIS,0.40102295911263414,0.5119936327856084,0.5118840523949755,0.5636505552441552,0.33644948066135716,0.4770838856317807,0.46701409430508517
CP,0.4873456069622274,0.4579214896717466,0.45799825664719845,0.4354356217820686,0.3013942288407112,0.2669184226396352,0.40116893775726453
Knee,0.4808547599686424,0.4959025780804375,0.49592753389889577,0.5115284525152469,0.45722194471780786,0.5285609486532742,0.49499936963905083
RW,0.4065115732236383,0.516505107278665,0.5163981748087295,0.5739452428411759,0.3888712026380837,0.5472704194074437,0.49158362003295597
ASF,0.673212874853337,0.431764163728022,0.43215498516919904,0.3268160620370207,0.28200433100442274,0.3800728971745629,0.4210042189944274
SMAA,0.40436063785547144,0.5185557153980892,0.5184463978951137,0.5794445341835751,0.3794864570080539,0.5345512995922633,0.4891408403220945
MMR,0.6608758040909717,0.43806939139860795,0.43843538665461546,0.34210736234499023,0.340761266386504,0.39377370516564025,0.43567048600688824
LexUR,0.5875587495657926,0.4489630596865416,0.44920254638673107,0.3708295959984779,0.35901655301884156,0.46698395446641455,0.4470924098537999
