config,geometry,replication,method,grouped_loss,tail_loss
"R1 (5 groups, m=10)",linear,4,RW,0.2877583614088892,0.3050822084428168
"R1 (5 groups, m=10)",linear,5,RW,0.43353874513713125,0.7924479565158319
"R1 (5 groups, m=10)",linear,6,RW,0.2973558523623408,0.3950318356654628
"R1 (5 groups, m=10)",linear,7,RW,0.436728951911502,0.9011735727012071
"R1 (5 groups, m=10)",linear,8,RW,0.43028272725527206,0.48628086550755906
"R1 (5 groups, m=10)",linear,9,RW,0.4419218569090335,0.5448464578190589
"R1 (5 groups, m=10)",linear,10,RW,0.40282569488428943,0.3890014398800424
"R1 (5 groups, m=10)",linear,11,RW,0.3950287348573598,0.5196930293286465
"R1 (5 groups, m=10)",linear,12,RW,0.39935506244114927,0.7304388653498949
"R1 (5 groups, m=10)",linear,13,RW,0.42168980504086173,0.7192461835344192
"R1 (5 groups, m=10)",linear,14,RW,0.38473330267115374,0.41508188631617726
"R1 (5 groups, m=10)",linear,15,RW,0.3827820714622086,0.531531430611288
"R1 (5 groups, m=10)",linear,16,RW,0.5227465406972329,0.5630623892094502
"R1 (5 groups, m=10)",linear,17,RW,0.3746087700819369,0.47013501542845354
"R1 (5 groups, m=10)",linear,18,RW,0.4009482171206826,0.4591106220757801
"R1 (5 groups, m=10)",linear,19,RW,0.38569658526190476,0.5960366278249445
"R1 (5 groups, m=10)",linear,20,RW,0.5403252465880413,0.9306875789687836
"R1 (5 groups, m=10)",linear,21,RW,0.5383208391861999,0.8627096829577201
"R1 (5 groups, m=10)",linear,22,RW,0.5043608625549151,0.840742585761058
"R1 (5 groups, m=10)",linear,23,RW,0.5273018645862503,0.6552379881637116
"R1 (5 groups, m=10)",linear,24,RW,0.47723347693850277,0.4701787938486962
"R1 (5 groups, m=10)",linear,25,RW,0.495914227237255,0.8950092788613997
"R1 (5 groups, m=10)",linear,26,RW,0.5156334341317184,0.998859652338987
"R1 (5 groups, m=10)",linear,27,RW,0.49430107352341524,0.9046478864820027
"R1 (5 groups, m=10)",linear,28,RW,0.4264672029660322,0.5943513932979642
"R1 (5 groups, m=10)",linear,29,RW,0.5216168065940444,0.813637109136711
"R1 (5 groups, m=10)",linear,0,ASF,0.25389860843724105,0.35064711494616013
"R1 (5 groups, m=10)",linear,1,ASF,0.2899579158858297,0.3293233367254675
"R1 (5 groups, m=10)",linear,2,ASF,0.30073764423422505,0.38789142796926734
"R1 (5 groups, m=10)",linear,3,ASF,0.2189054667944789,0.3049076158349845
"R1 (5 groups, m=10)",linear,4,ASF,0.22075402454331972,0.5178415506009771
"R1 (5 groups, m=10)",linear,5,ASF,0.22265830679121904,0.37742309684296
"R1 (5 groups, m=10)",linear,6,ASF,0.23483853773043742,0.40063745082034335
"R1 (5 groups, m=10)",linear,7,ASF,0.21332999150871548,0.3396626492902467
"R1 (5 groups, m=10)",linear,8,ASF,0.2474185376475441,0.3800930330636621
"R1 (5 groups, m=10)",linear,9,ASF,0.19866115952395982,0.3952061979140123
"R1 (5 groups, m=10)",linear,10,ASF,0.21914495295511946,0.3202072722476687
"R1 (5 groups, m=10)",linear,11,ASF,0.2546822509479615,0.42375884747583525
"R1 (5 groups, m=10)",linear,12,ASF,0.22757280546929612,0.4226833358937132
"R1 (5 groups, m=10)",linear,13,ASF,0.22661771694950483,0.43948968408650585
"R1 (5 groups, m=10)",linear,14,ASF,0.21736686163899052,0.2777374254740066
"R1 (5 groups, m=10)",linear,15,ASF,0.22015326038880567,0.351360098399762
"R1 (5 groups, m=10)",linear,16,ASF,0.21781342330664635,0.4061153515450015
"R1 (5 groups, m=10)",linear,17,ASF,0.28625699121234366,0.431531359117497
