config,loss_mean,loss_std,wcr_mean
Full LUR,0.45627748870525237,0.025551244444308344,0.7009962097534373
No clustering,0.45627748870525237,0.025551244444308344,0.7009962097534373
No singletons,0.4826272677166461,0.04016395808879575,0.7830900736661278
Mean only,0.45627748870525237,0.025551244444308344,0.7009962097534373
Max only,0.4201753064922348,0.019413775218253344,0.9285091326542871
